Attrition,DailyRate,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,Research & Development,Life Sciences,Marketing,Medical,Other,Technical Degree,Travel_Rarely,Male,Human Resources,Laboratory Technician,Manager,Manufacturing Director,Research Director,Research Scientist,Sales Representative,Married,Single,within 10km,>10km,old,avg_work_years
0,1328,3,94,3,76,3,2,4956,0,23,4,1,6,3,3,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0
0,1082,4,95,3,87,3,2,18775,1,17,2,0,1,4,3,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1.0
0,548,3,96,2,66,3,2,7346,1,17,2,2,10,3,3,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,10.0
0,132,3,97,2,55,4,4,22002,3,12,2,0,5,3,3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1.6666666666666667
0,746,4,98,3,61,3,4,20682,1,23,4,0,11,2,3,7,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,11.0
0,776,4,100,3,32,2,1,23016,0,14,2,0,16,2,3,13,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,193,4,101,4,52,3,1,15067,4,14,2,0,17,3,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,4.25
0,397,4,102,1,30,3,3,25258,4,13,1,0,16,3,4,2,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,4.0
0,945,2,103,2,80,3,2,10425,8,22,4,1,16,2,3,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2.0
0,852,1,104,4,55,2,4,15998,1,12,3,2,10,1,2,8,3,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,10.0
0,1214,3,105,2,30,2,3,26278,1,18,1,0,6,3,3,4,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,6.0
0,111,2,106,1,70,3,4,18092,3,14,4,1,24,4,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,8.0
0,573,3,107,2,79,1,4,15717,7,12,4,3,17,3,3,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.4285714285714284
0,1153,2,110,1,94,3,2,17736,1,15,3,0,5,2,3,2,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,5.0
0,1400,3,112,4,49,1,4,21698,4,11,1,0,37,3,2,4,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,9.25
0,541,1,113,3,62,3,1,9518,3,13,3,1,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0
0,432,4,116,4,96,3,4,18725,3,23,2,2,10,4,3,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,3.3333333333333335
0,288,3,117,3,99,2,4,15830,1,19,1,3,11,3,3,10,10,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,11.0
1,669,2,118,3,64,2,4,13596,1,16,4,0,9,3,3,8,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,9.0
0,530,4,119,3,78,2,2,14115,1,22,4,1,22,3,2,3,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,22.0
0,632,4,120,3,71,3,4,8423,0,22,4,0,11,2,1,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0.0
0,1334,2,121,3,63,2,2,19760,1,12,2,3,11,4,2,8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0
0,638,3,124,3,40,2,1,3142,2,13,3,1,21,5,2,9,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10.5
0,1093,4,125,2,87,3,3,24301,1,16,1,0,12,0,3,8,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12.0
0,1217,4,126,1,60,3,3,24001,9,12,1,1,16,5,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1.7777777777777777
0,1353,2,128,1,33,3,3,17519,0,21,1,1,4,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
0,120,3,129,2,43,3,3,8863,1,15,2,0,5,3,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5.0
0,682,4,131,4,37,3,3,24409,0,13,3,0,38,1,2,10,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.0
0,489,3,132,2,67,3,2,25043,4,12,3,1,17,3,4,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,4.25
1,807,4,133,3,63,3,1,23648,4,22,4,0,7,3,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1.75
0,827,1,134,4,71,3,1,15178,1,13,4,0,1,2,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1.0
1,871,3,137,4,66,2,4,19783,1,18,2,0,1,5,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.0
0,665,4,138,1,41,3,3,12482,1,14,3,0,16,3,3,13,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,16.0
0,1040,2,139,3,100,2,4,15850,5,14,4,1,17,2,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4
0,1420,4,140,3,32,2,4,21922,9,21,4,1,30,3,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3.3333333333333335
0,1115,3,141,1,73,3,2,9755,3,19,1,0,28,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9.333333333333334
1,240,3,142,3,46,2,3,26959,1,11,4,0,6,1,3,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,6.0
0,1280,1,143,4,64,2,4,26897,1,11,3,2,2,2,3,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,2.0
0,534,3,144,2,59,3,4,23785,1,15,3,0,1,5,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1.0
0,1456,4,145,1,30,2,1,25796,3,20,3,0,23,1,2,12,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.666666666666667
1,658,3,147,1,66,1,3,22887,1,24,4,0,9,3,3,7,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,9.0
0,142,3,148,4,30,4,4,13871,2,12,3,0,23,3,3,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,11.5
0,1127,1,150,2,52,3,3,13257,0,12,3,1,6,2,3,3,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0.0
0,1031,4,151,3,45,2,2,15000,6,15,3,1,12,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0
0,1189,3,152,3,87,3,4,14506,2,12,1,0,12,3,3,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0
0,1354,3,153,3,45,2,1,5615,2,12,4,0,14,6,3,10,5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,7.0
0,1467,2,154,2,92,3,4,22952,0,14,3,1,10,6,3,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0,922,2,155,1,39,3,4,2561,5,22,1,1,7,2,3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4
0,394,2,158,3,92,3,4,19494,1,12,4,2,25,3,4,12,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,25.0
0,1312,3,159,1,96,1,3,22310,1,25,3,3,10,2,2,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10.0
0,750,2,160,3,95,3,2,15480,0,13,1,1,8,2,4,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0
1,441,4,161,2,72,3,2,4510,9,18,1,3,7,2,3,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0.7777777777777778
0,684,3,162,1,51,3,3,6462,7,13,3,0,23,5,3,18,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,3.2857142857142856
1,249,4,163,2,76,1,3,20739,4,18,2,0,12,3,2,7,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,3.0
0,841,3,164,3,46,2,2,23300,1,19,3,0,5,3,2,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,5.0
1,147,4,165,4,94,3,4,3465,1,12,4,1,40,3,2,10,15,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,40.0
1,528,1,167,4,50,3,3,26820,1,19,4,0,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
0,594,1,169,3,100,3,4,19299,0,14,3,1,3,2,3,1,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0
0,470,4,170,3,96,3,1,5549,1,14,3,0,16,2,2,11,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,16.0
0,957,3,171,2,72,4,3,16090,4,12,4,0,18,2,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4.5
0,809,3,174,3,77,3,4,6645,4,11,4,0,16,3,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4.0
1,542,3,175,2,71,1,3,24788,3,11,3,1,4,2,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.3333333333333333
0,802,1,176,3,96,3,3,21196,3,13,3,1,12,2,3,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4.0
0,1355,1,177,3,61,3,3,8916,1,23,4,1,8,3,3,7,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,8.0
0,216,2,178,2,84,3,2,2819,6,20,4,2,7,0,3,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1.1666666666666667
1,1150,4,179,1,53,1,4,25150,2,15,4,0,18,2,3,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,9.0
0,1329,4,182,4,47,2,3,14590,4,14,3,1,17,1,4,11,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4.25
0,959,3,183,1,41,2,3,24835,2,18,4,0,6,3,3,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,3.0
0,1240,3,184,3,48,3,4,13982,0,19,4,0,12,2,1,9,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0
1,1033,3,190,1,41,3,1,10224,7,22,1,0,10,2,4,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.4285714285714286
0,1316,3,192,3,83,3,4,9752,5,13,2,0,9,2,2,5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1.8
0,364,5,193,4,32,3,3,2302,3,20,2,0,19,2,3,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6.333333333333333
0,438,3,194,1,75,3,3,23910,1,14,3,0,5,4,2,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5.0
0,689,2,195,4,35,1,4,22812,0,17,4,3,9,2,4,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
0,201,3,197,4,84,3,1,10415,5,14,4,1,8,3,3,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1.6
0,1427,1,198,2,35,2,4,11162,0,13,4,0,6,3,3,3,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0
0,857,3,199,4,91,2,1,12888,4,13,2,1,21,2,2,6,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,5.25
0,933,4,200,3,94,3,1,6961,2,21,4,1,7,2,3,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,3.5
0,1181,1,201,2,79,3,2,16102,1,14,4,0,1,3,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0
0,1395,3,202,2,54,3,2,8504,1,11,1,1,20,2,3,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20.0
0,662,5,204,3,94,3,2,11439,1,13,1,2,10,3,3,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,10.0
0,1436,2,205,2,34,3,3,16047,2,20,4,1,13,3,1,7,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,6.5
0,194,3,206,2,60,3,2,10901,8,18,3,1,20,2,1,9,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,2.5
0,967,3,207,2,43,3,4,15589,1,14,4,0,9,2,3,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.0
0,1496,1,208,4,41,3,3,26283,1,13,1,1,10,1,3,7,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10.0
0,1169,4,211,2,34,2,3,13983,2,17,3,0,10,2,3,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,5.0
0,1145,3,214,2,75,2,2,11873,4,20,2,1,9,3,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,2.25
0,630,4,215,3,67,2,4,8552,7,11,1,1,15,2,2,11,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2.142857142857143
0,303,4,216,3,75,3,3,11314,6,18,4,1,6,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
0,1256,1,217,3,80,3,4,11992,1,24,1,2,2,6,3,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2.0
0,691,3,218,4,57,3,2,5970,6,18,4,1,6,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.0
0,440,3,221,3,42,3,4,6672,1,11,3,1,5,2,1,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,5.0
